Headline,Type of opportunity,Discipline,Minimum Qualification / Applicable for,Countries eligible,Location of opportunity,vector
Facebook Accelerator London Programme 2019 for Innovative Startups,60,10,0,285,202,"[ 3.08400874e-01  2.03509418e-01  2.94649517e-01  9.43642982e-02
 -1.51674247e-01 -1.22424484e-01 -4.51752928e-01 -4.94773285e-01
  2.60853258e-01  2.20908711e-01  6.34927762e-02 -2.56569198e-02
 -1.00688753e-01  8.73523835e-02 -9.80730404e-02  2.25675974e-01
  1.78277771e-01  2.32241456e-01 -2.00031915e-03 -1.66900840e-01
  5.11042589e-01  2.59819906e-02 -1.60332047e-01  1.42845560e-01
  1.59416738e-01 -7.85596793e-01 -1.01566552e-01 -3.22397338e-01
  2.48571609e-02  6.27521527e-02  2.58650295e+00  2.50468187e-01
 -2.28638657e-02 -5.86999380e-01 -1.44234039e-01  4.67894763e-02
 -2.84412535e-01  1.84916960e-01 -2.63615294e-01 -2.25355782e-01
 -6.97954918e-02 -2.72198986e-01  6.35165695e-02  1.45441666e-01
 -3.23361011e-02  1.37291244e-01  7.15080154e-02  1.38292277e-01
 -9.70368006e-02  1.47715632e-02]"
Awaji Youth Federation (AYF) Fellowship 2020 for Professionals and Aspiring Leaders across the world,60,31,14,70,102,"[ 0.12683695  0.30866553 -0.16540211  0.09817448  0.06674032 -0.10734924
 -0.32712128 -0.2727684   0.16784661 -0.01629909  0.16811123 -0.05395785
  0.00238441  0.16480087 -0.08942928  0.03996262  0.32824449  0.22518339
  0.01353904 -0.00301018  0.17416742  0.16457706 -0.23343432  0.13028123
  0.03303766 -0.81970872 -0.02345268 -0.48582528 -0.29112552  0.05517824
  2.3662726   0.2972059  -0.41260876 -0.51721596 -0.18120159 -0.05088679
 -0.21816021 -0.02099557 -0.12470523 -0.18126004 -0.24313782 -0.31552307
  0.09189756  0.03271857 -0.05487848  0.10403841 -0.0534086   0.1457794
 -0.15007988  0.04789423]"
IBM PhD Fellowship Award Program 2020 (Stipend available),60,10,38,70,190,"[-7.25656137e-03  4.04786577e-01  8.95068658e-02 -2.66562198e-01
 -5.81943349e-02  6.86887420e-02 -3.84005303e-01 -4.92642404e-01
  6.67588596e-05  1.85388395e-01  1.17998101e-01 -4.35938696e-02
 -1.15446932e-01 -2.24946714e-01  1.13002597e-01 -1.69949035e-01
 -4.38190731e-02  2.50195369e-01 -5.69607619e-02  3.81025387e-02
  4.07944481e-01  1.34239710e-01  7.56685237e-03 -1.13787798e-01
  9.29130350e-03 -9.95480673e-01 -1.27635359e-02 -6.99008121e-01
 -4.42169989e-01 -1.55829127e-02  2.58996679e+00  1.22449585e-01
 -2.57635648e-01 -7.50380657e-01 -4.11912894e-02 -2.60890181e-02
 -1.20577245e-01  4.09596349e-01 -1.26017024e-03 -1.78330202e-01
 -9.10539635e-02 -3.48336257e-01  1.13423643e-01  1.89473871e-01
 -2.04708171e-01  3.16418287e-02  1.15073723e-01  2.14106528e-01
 -4.05645758e-01  1.38214235e-01]"
GIZ-SAIS Investment Readiness Programme 2019/2020 for African Agritech and Food start-ups,60,4,0,23,108,"[ 0.31016197  0.07660322  0.17563896  0.03857365  0.01881516 -0.0202028
 -0.37661217 -0.60996323  0.46748165  0.2267017   0.21792524  0.11233773
 -0.0704385  -0.20538504 -0.09970474  0.27682104  0.21614348  0.19026775
  0.23622135 -0.29247091  0.64618839 -0.06074552 -0.23750492 -0.27698494
  0.0131397  -0.98886674 -0.09334389 -0.37144058  0.16941775  0.32423255
  3.08274716  0.450484   -0.02583457 -0.49322439 -0.10841092 -0.12828612
 -0.4262733   0.25707648 -0.04514734 -0.28135765 -0.27073313 -0.33932667
  0.2779585  -0.02980569  0.10015248 -0.08140326 -0.10525185  0.57732611
  0.12582007  0.3845142 ]"
"Nieman-Berkman Klein Fellowship in Journalism Innovation 2020-2021 at Harvard University (stipend of $75,000)",60,31,14,70,190,"[ 2.18059487e-03  4.60379741e-01 -1.23992912e-01 -9.65353792e-02
  3.33882343e-02  1.36120558e-01 -4.92737796e-01 -6.65358906e-01
  2.40599228e-01  1.13499446e-01 -1.86109910e-02  9.99356401e-02
 -1.47444367e-01 -5.19969540e-02 -5.73588026e-03 -7.08459252e-02
  1.19402143e-01  1.30781919e-01  1.14426580e-01 -7.52106886e-02
  5.47589510e-01  2.33033051e-01 -9.39875694e-02 -8.95386903e-02
  7.32863416e-02 -1.01218045e+00 -3.43724297e-01 -5.26890552e-01
 -3.11336636e-01 -8.37156329e-02  2.46268945e+00  5.45621475e-02
 -2.14741833e-01 -8.75870884e-01 -3.48615615e-01 -7.71262522e-02
 -2.63958543e-01  3.19054344e-01  1.09969127e-01 -5.35422220e-02
  2.95587562e-02 -3.14620360e-01  3.59486001e-02  3.73869716e-01
 -1.15254746e-01 -9.95047716e-04  6.18020339e-02  3.58542424e-01
 -2.50474541e-01  2.56105400e-01]"
CDC Public Health Informatics Fellowship Program (PHIFP) 2020,60,3,24,70,190,"[ 0.08372164  0.35224681  0.09924302  0.06302449 -0.12350194 -0.17754327
 -0.2698745  -0.70472906  0.554375   -0.26226408  0.20909795  0.08374364
  0.06950017 -0.0708835   0.03883263  0.06477067 -0.06167031  0.37929131
  0.3206822   0.06006519  0.38687841  0.15259028 -0.07882702  0.01746299
 -0.01025333 -1.04914157 -0.11293298 -0.73489096 -0.46989626  0.12156803
  2.77184636  0.27196515 -0.36611639 -0.98741311 -0.23990503  0.2402692
 -0.05841485  0.2377704   0.47965116 -0.01259697 -0.07343159 -0.27213385
  0.32922033  0.35727899  0.00683429  0.22965937 -0.01750662  0.60021951
  0.09895863  0.40548514]"
"Africa Young Entrepreneur Support (YES) Program 2020 for Young Social Entrepreneurs (Up to $15,000 in Funding)",60,31,0,70,108,"[ 2.20835208e-01  3.15734786e-01  2.81358186e-01 -1.03718872e-01
  5.95024432e-02  2.91848555e-02 -3.78156078e-01 -4.02376167e-01
  1.09831558e-01  8.45054019e-02  1.73542699e-02 -3.33936934e-02
  1.05794443e-02 -2.04089165e-02  2.40624060e-01  1.88868824e-02
  3.42427242e-01  2.19088917e-01 -8.33099990e-02 -6.29933340e-02
  3.05604977e-01  2.55141570e-02  2.22586840e-02  3.87676220e-02
  9.09098169e-02 -9.27096998e-01 -2.42912038e-02 -5.82828127e-01
 -6.02287660e-02  1.13171540e-01  2.71546489e+00  4.03491844e-01
 -3.80252844e-01 -4.36650429e-01 -1.19680343e-01 -4.28770882e-03
 -1.44225871e-01  1.24741470e-01  7.34172626e-02 -2.80322717e-01
 -2.22219442e-01 -2.43097606e-01  2.41847040e-01  1.28020093e-02
 -1.22731627e-01  1.00461323e-01 -9.66881815e-02  1.76497411e-01
 -1.03298856e-03  2.45527706e-01]"
UNU-WIDER SA-TIED Young Scholars Programme 2019/2020,60,0,14,267,172,"[ 0.28437272  0.34280827 -0.11966419 -0.13566327  0.02394671  0.01042734
 -0.40217257 -0.39496088  0.19786143  0.01125697  0.06946566  0.03794567
 -0.10559085  0.00925505  0.01162109  0.04117998  0.2921976   0.10191552
  0.06005964 -0.06961386  0.42635848  0.16592416  0.04539063 -0.08836074
  0.13712326 -1.13518821 -0.23529222 -0.43058105 -0.40658626  0.10934147
  3.00430875 -0.02040264 -0.28787081 -0.75679981 -0.10073544 -0.03647424
 -0.13654737  0.26732117 -0.07035835 -0.09682297 -0.17395977 -0.31222143
  0.15497621  0.10048056  0.02229749 -0.01694335 -0.03573633  0.49830097
 -0.13850134  0.08086896]"
Erasmus European Exchange Programme for Entrepreneurs 2019,60,62,0,211,70,"[ 0.18828563  0.1377563   0.05038557 -0.07267748  0.20510236 -0.0862485
 -0.62766814 -0.14808151 -0.06114646  0.21548519  0.00501471  0.2291617
 -0.13014409  0.13741809  0.22355391  0.1521239   0.31733705  0.11884321
  0.02944095 -0.34428313  0.43444592  0.1527175  -0.10388369  0.1914062
  0.17105225 -1.20205081 -0.11057218 -0.38932664  0.12591045 -0.08295725
  2.75088797  0.4914735  -0.10958987 -0.32048976 -0.03945066 -0.0606837
 -0.42024189  0.26411038 -0.03194398 -0.32648492 -0.20831921 -0.05153287
  0.17611536  0.17642704  0.24335067  0.00820764 -0.10316093  0.18948077
 -0.01808006  0.24814142]"
OSCE Parliamentary Assembly Research Assistant Fellowship Programme 2019/2020,60,31,38,45,148,"[-0.01637819  0.37885064 -0.22252356  0.11303169  0.0074464   0.0260928
 -0.23312115 -0.3586946   0.26307035 -0.288629    0.19872439 -0.08978682
 -0.1909254   0.17059014 -0.03116464  0.00521016  0.23937009  0.17316771
  0.21984862 -0.07583153  0.50267249  0.3037834   0.0170422  -0.09083674
 -0.02416786 -1.18646289  0.08194182 -0.60156317 -0.56608835  0.24728979
  2.83514356  0.17988042 -0.53994325 -0.96887934 -0.24250802  0.00485631
 -0.2224253   0.37199711 -0.00572101  0.082105   -0.29442351 -0.23894565
  0.28080171  0.09873389 -0.07279667  0.06227346 -0.15657571  0.50999027
 -0.20440527  0.05307165]"
"Andrew W. Mellon Postdoctoral Fellowship 2020-2021 in the Humanities at the University of Pennsylvania (Stipend of $57,900)",60,31,24,70,211,"[-1.80434346e-01  6.98788407e-01 -9.11759509e-02 -1.73859987e-01
  8.95360741e-02  1.24351191e-01 -3.83404280e-01 -4.52512613e-01
  2.06989414e-02 -6.56857360e-02 -1.01857386e-01  2.51222578e-02
 -4.25935876e-02 -5.77737342e-02  2.95710764e-02 -1.30489936e-01
  1.94956368e-01  7.88789722e-02 -1.39472136e-01  8.00500550e-02
  3.19192487e-01  1.13804263e-01  1.39453618e-01 -1.29208240e-01
 -9.07382211e-02 -8.93097942e-01 -1.45991692e-01 -5.92518639e-01
 -5.77987200e-01 -4.63112363e-02  2.30662955e+00  1.03838705e-01
 -1.22810098e-01 -7.26892618e-01 -1.79096201e-03  1.87983359e-02
 -8.57228666e-02  4.49950557e-01  1.41588673e-01 -1.73244839e-01
 -8.88976475e-02 -2.13781779e-01  3.88186778e-02  2.87740149e-01
 -1.99657603e-01  3.24573494e-03  4.48422216e-02  1.89118826e-01
 -3.12411189e-01  2.40710954e-01]"
"Erasmus for Young Entrepreneurs Global 2019/2020 for SMEs based in the USA, Israel and Singapore",60,62,0,279,74,"[ 0.13839326  0.23807241  0.0373941  -0.0377953   0.11491998 -0.06754172
 -0.60744756 -0.27068496 -0.00756752  0.11704188  0.16169743  0.18778768
 -0.15421239  0.2082862   0.19048244  0.1734662   0.31242397  0.1135395
 -0.05653326 -0.20696193  0.41500774  0.16563369 -0.13454164  0.20555005
  0.06939886 -1.20269075 -0.11053682 -0.44378389 -0.12389153  0.059124
  2.71410479  0.37316103 -0.18814106 -0.2887682  -0.11248745 -0.15055203
 -0.33056361  0.17285228 -0.041338   -0.32626864 -0.10158326 -0.07606768
  0.26352967  0.05187332  0.19316707  0.03471312 -0.13899436  0.20379156
 -0.02840225  0.17929173]"
Clinton Global Initiative University 2019-2020 Program for Higher Education Student Leaders (Travel Assistance available),60,31,54,70,211,"[ 0.02199805  0.48687598 -0.12338283 -0.20881252 -0.01836038  0.01817784
 -0.29620791 -0.45434332  0.13423149 -0.06144938 -0.08974221 -0.14390073
 -0.05598441 -0.16132208  0.11037988  0.08362925  0.15494042  0.03719825
  0.07683908 -0.00965071  0.3359805   0.24937833 -0.00377736  0.02174534
  0.05719784 -1.21190947  0.01372503 -0.43173792 -0.37279762  0.11446969
  2.84856134  0.34237388 -0.42186856 -0.80415561 -0.13177701 -0.07311472
 -0.06899691  0.14288022 -0.0099116  -0.16531771 -0.29026788 -0.16786054
  0.10193863  0.08381917 -0.02097752  0.15407397 -0.02380664  0.28409346
 -0.04958099  0.19645357]"
ASEM-DUO Fellowship Programme 2019-20,60,0,54,263,173,"[ 0.07292044  0.88551747 -0.37018891 -0.51526681  0.12036725 -0.00742271
 -0.2590536  -0.59108467  0.25152735 -0.14107382  0.27651718  0.08036256
  0.08000424  0.1302153   0.0738553  -0.02272637  0.25015768  0.41884344
 -0.13025656  0.6067272   0.68925435  0.17990942  0.046728    0.03388238
 -0.09330205 -0.49518623  0.30057847 -0.93466505 -1.05836166  0.17656232
  2.13388587  0.4188172  -0.38785386 -0.44964567 -0.26924761 -0.00504209
  0.0655843   0.25502776  0.01161713 -0.16862771 -0.15174461 -0.78613089
 -0.03717343  0.23990133 -0.29617147 -0.04107714  0.15716059  0.29227201
 -0.56919113 -0.01898438]"
World Youth Forum 2019 in Egypt (Fully Funded),34,0,0,70,65,"[ 0.07416471  0.33047253 -0.06328614  0.02386726  0.21082651 -0.31289013
 -0.25551537 -0.16284719  0.10186488  0.10426928  0.04694165 -0.15614177
 -0.208497    0.24935672  0.15146456  0.04994717  0.32015866  0.04610449
  0.00730502 -0.11933185  0.22533554  0.09924407 -0.021114    0.23064314
  0.18088425 -1.01241763 -0.06192525 -0.27703666 -0.14340666  0.04631553
  2.62855491  0.47418908 -0.36025383 -0.49192218 -0.3542683  -0.09768087
 -0.19142629  0.15399587 -0.39765018 -0.25892042 -0.23944139 -0.36318807
  0.09488227  0.01522995  0.10336451  0.21642779 -0.0785037   0.13259224
 -0.08043526 -0.09860866]"
Commonwealth Master’s Scholarships 2020 in UK (Fully Funded),76,0,14,185,202,"[-0.35924838  0.5018208  -0.17047315 -0.39430223  0.01974585 -0.09184292
 -0.22518182 -0.29350145  0.06090296 -0.10674899  0.25563577  0.18342533
  0.26171129 -0.14580135  0.08924908  0.02905956  0.27120734  0.24762429
 -0.14531356  0.02058448  0.55385833  0.04989792  0.11808422  0.03908723
 -0.10475637 -0.82748962 -0.12327555 -0.84539813 -0.68278555  0.11813871
  2.30711111  0.28923726 -0.29554604 -0.48037916  0.20996611  0.04438874
  0.07923911  0.26381922  0.02058396 -0.30053407 -0.19378211 -0.408849
  0.27958097  0.33709459 -0.33177568 -0.0739417  -0.03079815  0.13055667
 -0.1069243  -0.06272035]"
Commonwealth PhD Scholarships 2020 in UK,4,0,38,143,202,"[-0.36395854  0.402912   -0.01042891 -0.23218826 -0.1240603   0.11946657
 -0.26074546 -0.35187843  0.25132357 -0.18367412  0.3072203  -0.1337007
  0.18668691 -0.14174275  0.15888     0.06920692  0.2578194   0.24006305
 -0.14237031  0.10757013  0.55571043  0.16980095  0.27999496 -0.08201377
 -0.12028485 -0.85255573  0.16018257 -0.78031826 -0.79969455  0.20027396
  2.19832262  0.27696765 -0.36507449 -0.72379435  0.03405674 -0.0411256
 -0.01986313  0.51056696 -0.06689161 -0.3278899  -0.22564292 -0.47185814
  0.46938944  0.22035435 -0.4707657   0.0547807  -0.16412305  0.34743435
 -0.27531131 -0.14539232]"
2020 Commonwealth Youth Awards for Excellence in Development,14,0,0,83,202,"[-0.28112547  0.551692   -0.14699765  0.10213771  0.12581296 -0.04188037
 -0.3373205  -0.23021134  0.2857825  -0.04152229  0.12392642 -0.05597925
 -0.04692409  0.06599642  0.16944271 -0.08436787  0.42780959  0.11924841
 -0.18751405 -0.12874104  0.53621254  0.05046029  0.00755567 -0.01508571
 -0.27293541 -0.87201458 -0.1608877  -0.62386625 -0.67769569  0.03469433
  2.47055833  0.60629158 -0.27026042 -0.53749752 -0.11899996 -0.05158957
  0.03355017  0.1466525  -0.23495299 -0.469668   -0.2818753  -0.25688988
  0.09261755 -0.15553579 -0.42288313  0.09156208 -0.43102605  0.01069592
 -0.10094471 -0.01419475]"
PAVE Student Design Competition 2019 in USA,25,0,54,70,211,"[ 7.62973061e-02  3.31868836e-01 -8.29028461e-02  2.20997486e-02
  8.39132805e-02 -1.38814920e-01 -3.51251754e-01 -2.94801691e-01
  1.47685910e-01 -3.55851134e-03 -2.78785126e-02 -1.36676170e-02
 -1.84223972e-01 -2.25895193e-02  3.04648157e-01  4.14093155e-02
 -1.92511781e-03 -2.34419992e-02 -6.00635649e-02 -2.75588083e-01
  5.35442459e-01  6.89617922e-02 -2.16342894e-01  1.51494720e-01
 -2.20892192e-03 -1.09413435e+00 -3.12521997e-01 -3.14905588e-01
 -8.33601784e-02 -9.72915900e-02  2.68988847e+00  3.33809480e-01
 -2.08374874e-01 -4.75494231e-01 -1.03495537e-01 -3.47396825e-03
 -1.94307980e-03  4.86232793e-02 -6.42546157e-02 -2.09546460e-01
 -8.78224368e-02 -1.58446665e-01  1.30507617e-01  2.18953818e-01
 -1.67224405e-02 -1.16999270e-01  1.41855036e-01  2.40568792e-01
  1.05591336e-01  1.59048080e-01]"
iF Social Impact Prize 2019 – Online Competition,25,0,0,70,148,"[ 0.09576874  0.48222317  0.04603191 -0.08147686  0.01298206  0.17047503
 -0.22594574 -0.64541902  0.15462786  0.17805635  0.07381777  0.0099894
 -0.07027245 -0.23377154  0.28396086 -0.20156909  0.54705734  0.11329801
 -0.16284055 -0.02576587  0.38572881 -0.19580772  0.04945497 -0.16722092
 -0.01773534 -0.80918657 -0.10550934 -0.61255752 -0.29202943  0.12548426
  2.8761743   0.37696878 -0.29310005 -0.406944   -0.20250797 -0.07851143
 -0.01405216  0.33449577 -0.1356861  -0.21190623 -0.10054354 -0.32411577
  0.34212078 -0.20456286 -0.37355931  0.12661357 -0.24544134  0.33300009
 -0.02357268  0.08521755]"
Conrad Challenge 2019-2020,25,0,0,70,211,"[ 0.08104551  0.26067243  0.01491727 -0.061991   -0.02493503  0.0753582
 -0.2863424  -0.41904378  0.20418905 -0.01417651  0.01237316 -0.1071438
 -0.06344152 -0.09088043  0.27735862  0.02781363  0.09816084  0.12772633
 -0.0401117  -0.34994356  0.45726854 -0.0545189  -0.008172    0.17853954
  0.04067983 -0.80095294 -0.09590207 -0.58595243 -0.10416997  0.10027777
  2.53275234  0.57345134 -0.21198353 -0.6085513  -0.09973913  0.05054311
 -0.2247392   0.22710218 -0.12448546 -0.19880347 -0.23802048 -0.25860807
  0.13770774  0.17558647  0.11366487  0.14089161  0.11540653  0.08159813
 -0.09054399  0.1496759 ]"
NetMission.Asia 2020 – Internet Governance Academy for Youth,91,0,54,70,148,"[ 9.18220177e-02  2.62397741e-01 -2.20492581e-01 -8.50432114e-03
  1.30430873e-01  2.57397006e-03 -2.99634553e-01 -3.21756123e-01
  1.63565581e-01  9.82798722e-02 -6.02271920e-02 -6.55049364e-02
 -2.00082901e-01  1.58732024e-01  1.79969990e-02 -2.10773119e-01
 -5.31652220e-02  1.09683192e-01  4.31188977e-02 -1.69151223e-01
  5.64697542e-01  3.10766646e-01  2.96414877e-02  2.81328933e-01
  2.04082165e-02 -8.13474199e-01 -1.24829062e-01 -6.18835030e-01
 -2.22102605e-01 -7.92949341e-02  2.63123871e+00  3.23525209e-01
 -3.09239194e-01 -7.95179158e-01 -1.59465820e-02  1.44974361e-01
 -1.19261976e-01  1.69435292e-01 -2.95507482e-01 -1.74801965e-01
 -5.91205494e-02 -4.07330611e-01 -7.31679679e-02  3.24949684e-01
  8.17147753e-02 -5.44453905e-02  2.74633837e-01  3.26559520e-01
 -1.26099417e-01  2.64660258e-01]"
Call for Concept Notes: Economics of Forest Restoration and Environmental Issues,65,70,14,269,148,"[ 0.2754178   0.36536802 -0.05993731  0.32685665 -0.04101956 -0.03637965
 -0.27175874 -0.75506917  0.46058987 -0.11916293  0.14661034  0.16984587
  0.08305496 -0.04875875 -0.20504865  0.20378492  0.41708109  0.24171205
  0.08506772  0.11925465  0.47884493 -0.00931084  0.00633763 -0.10866074
  0.14764516 -0.86245761 -0.01498248 -0.46160223 -0.43578427  0.26774037
  2.71379762 -0.05334544  0.0103247  -0.74114942 -0.22814488 -0.09543009
 -0.49732475  0.21713465  0.14426516  0.05310219 -0.2593755  -0.150664
  0.38125589 -0.1129733   0.13707959  0.16798063 -0.0342695   0.37888156
  0.06604854  0.24659556]"
Forbes 30 Under 30 Asia List: Nominations For Class of 2020 Are Now Open!,14,0,0,116,148,"[ 0.00503008  0.42670088  0.32830784 -0.02111088  0.16831148 -0.10782979
 -0.39199708 -0.67433825  0.02827467  0.09941292  0.00533708 -0.11150021
 -0.11333987  0.15059824  0.09384875 -0.12425375  0.30754833  0.17459137
 -0.18482658 -0.12132584  0.59282047 -0.19250524 -0.01529437  0.10440984
 -0.10582883 -0.73855575 -0.26874579 -0.67502158 -0.4051542   0.21279167
  2.456615    0.45551108 -0.06118475 -0.46380912 -0.06633737 -0.16049721
 -0.33002708  0.23354066 -0.11590013 -0.13857642 -0.25528355 -0.23323633
  0.30162117 -0.10266828 -0.13293083  0.17384434 -0.15823241  0.13267642
  0.05754192  0.16118818]"
The Chevening Fellowship: South Asia Journalism 2020 in UK,60,0,38,145,202,"[-1.27927867e-01  3.41617526e-01 -1.93036444e-01  1.22042838e-01
 -4.03884356e-02 -2.34128207e-01 -2.78039656e-01 -3.74739764e-01
  3.40973132e-01 -3.02906874e-01  3.44613961e-02 -1.29012289e-01
 -4.59044519e-03 -8.57578415e-02  6.29345566e-02  1.07375372e-01
  2.43725317e-01  2.26088860e-01 -3.04859960e-01  3.93510075e-01
  5.29606583e-01  3.22999340e-01  9.85576065e-02  1.47830976e-01
  4.82432386e-02 -9.90919443e-01  1.81915501e-01 -5.18183525e-01
 -7.41235613e-01  2.02424924e-01  2.45173605e+00  1.95369996e-01
 -1.32116204e-01 -1.61478950e-01 -9.08003200e-02 -4.00544855e-04
 -7.20848595e-02  5.21997313e-03 -2.62020446e-01 -1.25101997e-01
 -1.99179339e-01 -1.02406899e-01  3.29837242e-01 -1.81817958e-01
 -7.57647111e-02  3.84595526e-01 -2.66470552e-01  8.47269036e-02
 -3.76779777e-02 -3.43763082e-01]"
KEEP WRITING | Writing Contest 2019 | Enlivening Emotions,14,0,0,70,148,"[-0.28006393  0.40297796 -0.51249743 -0.24474558  0.14977487  0.1481566
 -0.12401832 -0.20670104 -0.23070357  0.62850175 -0.09242976  0.20772118
  0.14698321  0.07995054  0.20975728 -0.32385832  0.01302363 -0.0561205
  0.23186054 -0.11530432  0.13484523  0.34482665  0.43038881  0.44623375
  0.58234231 -0.94011712 -0.83647011 -0.1165456   0.0298245  -0.32305211
  2.47345072 -0.21756214 -0.075973   -0.48592232 -0.26527646  0.06699652
 -0.08048543 -0.08480143 -0.31057546 -0.03877173  0.27177032  0.10829397
 -0.34302072  0.12020886 -0.02106396  0.02159636  0.14845314 -0.03390324
 -0.17298958  0.06369579]"
"2019-2020 Engage Art Contest ($100,000 Total Cash Prize)",25,0,0,174,148,"[-0.05635654  0.52262874 -0.34045107 -0.0621897   0.18483503  0.05999676
 -0.27502642 -0.48621559 -0.05359547  0.52533341  0.03627222  0.1738852
 -0.03485392  0.05835117  0.41020689 -0.25809278  0.16710925  0.16827898
 -0.27909089 -0.24553789  0.50859727  0.20550411 -0.01692478  0.09493355
  0.17243362 -0.86635782 -0.82587142 -0.42581089 -0.10735889 -0.28969136
  2.6206789  -0.01141757  0.00614638 -0.67414298 -0.17123092  0.19441005
  0.07434667  0.16900447 -0.21251106 -0.2326505   0.16858478 -0.02223561
  0.01137243  0.02692292 -0.19563974  0.03932529  0.08709037 -0.16407536
 -0.25153393  0.20178222]"
2020 Palm Beach Poetry Festival CantoMundo Fellowship,60,0,0,300,211,"[-0.26655443  0.78484315 -0.74460333 -0.08225964 -0.02249647 -0.13748539
 -0.60287004 -0.39566386  0.1893845   0.27061214 -0.25752722 -0.07091104
  0.23674875 -0.19389264  0.22158214 -0.54616143  0.14707157  0.04953761
 -0.33155659 -0.08178952  0.44469143  0.11068999  0.0991685   0.27150904
  0.23254164 -0.65706533 -0.73506782 -0.34686322 -0.39918003 -0.22293821
  2.37134643 -0.06705464  0.01646836 -0.51970338 -0.19909383 -0.02998914
 -0.01302567  0.19910283 -0.11770882 -0.06520407  0.08758325 -0.07581524
 -0.22768435 -0.10324154 -0.17499557  0.3119     -0.05529228 -0.41389129
 -0.16777943  0.06408677]"
